User Id,Course Id,Cummulative Time,Age,Recommended Age,Age Difference,Start Time,Last Event,Act Days,Absence Days,Quiz Average,Lessons Completed,Quiz Average Timespent,Average Login 2W,Course_Difficulty ,Prerequisites,survival_percentage
23583,266,4260,12,12,0,1664726012,1670474158,3,64,88.38,2,110.54,3,0,0,0.428571429
23202,266,6540,12,12,0,1663030919,1673225877,4,114,51.52,1,339.55,4,0,0,0.45
23503,266,12600,12,12,0,1660660410,1662131824,9,8,100,5,98.7,9,0,0,0.45
23489,266,22080,12,12,0,1659662361,1664917229,8,53,77.59,5,108.16,8,0,0,0.65
23487,266,22020,12,12,0,1659317746,1659931571,4,3,91.86,10,50.4,4,0,0,0.571428571
23471,266,13020,12,12,0,1657810102,1662693911,7,50,77.01,10,52.71,7,0,0,0.45
23470,266,38100,12,12,0,1657808938,1658956827,6,7,84.44,10,105.84,6,0,0,0.857142857
23455,266,2580,12,12,0,1656350583,1656353445,1,0,63.49,3,87.52,1,0,0,0.142857143
23456,266,1560,12,12,0,1656349863,1656352071,1,0,90.91,1,96.47,1,0,0,0.142857143
23453,266,7380,12,12,0,1656333180,1656426578,2,0,82.2,2,208.08,2,0,0,0.285714286
23436,266,28260,12,12,0,1654196347,1665089163,13,113,77.24,10,71.36,13,0,0,1
23419,266,3660,12,12,0,1653148041,1653154607,1,0,95.46,2,96.77,1,0,0,0.142857143
23324,266,1140,12,12,0,1646591615,1646593086,1,0,90.91,1,76.83,1,0,0,0.142857143
23322,266,1440,12,12,0,1646518945,1655246487,3,98,86.37,2,116.16,3,0,0,0.428571429
23318,266,6300,12,12,0,1646425196,1649892535,3,37,95.46,2,238.58,3,0,0,0.428571429
23308,266,16800,12,12,0,1646102196,1657828879,9,127,68.75,10,97.48,9,0,0,0.65
23294,266,15420,12,12,0,1645659875,1647385754,8,12,80.13,10,106.07,8,0,0,0.45
23270,266,1620,12,12,0,1645156743,1655321027,3,115,72.73,1,123.09,3,0,0,0.428571429
23268,266,3300,12,12,0,1645141876,1647409317,3,23,100,4,64.9,3,0,0,0.428571429
22020,266,10860,12,12,0,1643325775,1654199983,7,119,77.37,10,119.9,7,0,0,0.45
23104,266,24240,12,12,0,1640874198,1645565658,7,47,67.14,10,68.72,7,0,0,0.65
23122,266,1140,12,12,0,1640454255,1640456046,1,0,81.82,1,161.74,1,0,0,0.142857143
23079,266,26100,12,12,0,1639693230,1640717537,8,4,85.97,10,180.59,8,0,0,1
22945,266,22920,12,12,0,1639178869,1671503309,8,366,81.53,5,158.97,8,0,0,0.65
22422,266,2520,12,12,0,1637706552,1637708862,1,0,81.82,1,262.84,1,0,0,0.142857143
22416,266,20340,12,12,0,1637641897,1650924017,12,142,58.42,8,63.69,12,0,0,0.65
22412,266,17100,12,12,0,1637560657,1652046314,7,161,72.73,2,98.33,7,0,0,0.65
22372,266,4920,12,12,0,1636936085,1637109409,3,0,90.91,2,109.75,3,0,0,0.428571429
22370,266,25140,12,12,0,1636920132,1638246471,7,8,92.54,8,63.43,7,0,0,1
22326,266,5160,12,12,0,1636652079,1639327512,4,27,82.32,2,225.23,4,0,0,0.45
22318,266,6120,12,12,0,1636603600,1637438701,4,6,89.56,3,150.58,4,0,0,0.45
22319,266,3300,12,12,0,1636603396,1636677254,2,0,70.46,2,61.89,2,0,0,0.285714286
22314,266,1140,12,12,0,1636582182,1637186715,2,5,82.83,3,117.21,2,0,0,0.285714286
22307,266,3060,12,12,0,1636511599,1636595752,2,0,66.67,1,216.88,2,0,0,0.285714286
22280,266,18000,12,12,0,1636420430,1637758551,7,8,94.95,4,94.98,7,0,0,0.65
22176,266,3240,12,12,0,1635896101,1635979206,2,0,61.21,2,90.19,2,0,0,0.285714286
22157,266,4200,12,12,0,1635795806,1636687358,3,7,81.82,1,131.74,3,0,0,0.428571429
22129,266,13200,12,12,0,1635379751,1636068619,4,4,78.64,10,69.7,4,0,0,0.45
22114,266,29460,12,12,0,1635338323,1636236691,10,0,57.81,10,165.26,10,0,0,0.65
22111,266,17100,12,12,0,1635336887,1641919034,8,68,84.16,9,146.65,8,0,0,0.65
22106,266,14040,12,12,0,1635297795,1638145349,10,23,78.44,6,86.97,10,0,0,0.45
22066,266,31740,12,12,0,1635209063,1657904533,10,253,75.2,10,305.57,10,0,0,1
22019,266,4260,12,12,0,1635006715,1635295479,3,0,72.73,1,131.23,3,0,0,0.428571429
22024,266,17100,12,12,0,1634944274,1636852643,6,16,80.98,3,159.06,6,0,0,0.65
21997,266,2580,12,12,0,1634606747,1634770734,2,0,81.82,1,562.92,2,0,0,0.285714286
21956,266,24060,12,12,0,1634269073,1635550748,11,4,58.63,10,50.65,11,0,0,0.65
21859,266,19680,12,12,0,1633896605,1635629701,4,16,68.91,10,50.38,4,0,0,0.571428571
21818,266,23580,12,12,0,1631156974,1641345340,7,111,69.92,3,121.48,7,0,0,0.65
21806,266,1920,12,12,0,1630710206,1639180641,3,95,86.08,10,94.74,3,0,0,0.428571429
21797,266,15000,12,12,0,1630467561,1641273898,11,114,48.06,6,31.69,11,0,0,0.45
21779,266,12300,12,12,0,1630012658,1635372873,11,51,84.07,10,88.6,11,0,0,0.45
21766,266,3060,12,12,0,1629894889,1634078780,2,46,81.82,1,370.75,2,0,0,0.285714286
21764,266,15000,12,12,0,1629862779,1630464079,6,1,86.21,10,89.98,6,0,0,0.45
21602,266,900,12,12,0,1629658260,1648920996,6,217,72.31,4,53.16,6,0,0,0.45
21713,266,11400,12,12,0,1629553789,1629844363,4,0,80.85,10,70.16,4,0,0,0.45
21411,266,6600,12,12,0,1628535828,1628546189,1,0,85.8,10,67.15,1,0,0,0.142857143
21315,266,3660,12,12,0,1628120493,1657125403,2,334,90.91,1,104.76,2,0,0,0.285714286
21305,266,9840,12,12,0,1628112301,1632787396,7,47,84.85,2,131.67,7,0,0,0.45
21129,266,9120,12,12,0,1627924120,1632529733,3,50,68.18,2,133.98,3,0,0,0.428571429
20850,266,17040,12,12,0,1627655160,1636306510,9,91,80.35,5,111.4,9,0,0,0.65
21079,266,2820,12,12,0,1628090163,1628608602,4,2,90.91,1,179.09,4,0,0,0.45
17597,266,11700,12,12,0,1627409067,1629239141,10,11,78.54,10,80.97,10,0,0,0.45
21020,266,13680,12,12,0,1627148212,1628016050,9,1,93.47,10,80.19,9,0,0,0.45
20970,266,3780,12,12,0,1627064936,1627408104,2,2,90.91,2,145.54,2,0,0,0.285714286
20903,266,5940,12,12,0,1626817106,1626831112,2,0,93.94,3,171.59,2,0,0,0.285714286
20694,266,40380,12,12,0,1626052244,1633215188,15,68,64.71,8,128.73,15,0,0,0.65
16866,266,17460,12,12,0,1626044232,1639408820,20,135,79.03,7,84.38,20,0,0,0.65
20693,266,7380,12,12,0,1626040885,1627518462,4,13,57.8,5,50.39,4,0,0,0.45
20637,266,2820,12,12,0,1626032737,1631482204,2,61,90.91,2,132.6,2,0,0,0.285714286
20690,266,12360,12,12,0,1626032264,1626411392,5,0,70.82,10,78.91,5,0,0,0.45
20618,266,14640,12,12,0,1626013259,1628266859,6,20,81.39,10,111.8,6,0,0,0.45
20612,266,13920,12,12,0,1634208621,1645483328,8,122,87.37,5,130.08,8,0,0,0.45
20493,266,28980,12,12,0,1625612946,1627060846,8,9,78.47,10,143.42,8,0,0,1
20454,266,19020,12,12,0,1625580185,1628544856,9,25,83.98,10,117.78,9,0,0,0.65
18143,266,41940,12,12,0,1625418088,1626448445,10,2,50.94,10,382.69,10,0,0,0.65
20479,266,3600,12,12,0,1625341220,1627329805,3,20,94.31,10,61.43,3,0,0,0.428571429
20473,266,33060,12,12,0,1625275483,1642123983,12,183,96.19,8,74.25,12,0,0,1
20463,266,91020,12,12,0,1625168359,1628103351,21,13,53.76,10,119.57,21,0,0,0.65
20430,266,20280,12,12,0,1625145564,1626453792,10,5,79.12,10,65.08,10,0,0,0.65
20431,266,15720,12,12,0,1625107718,1626453916,7,9,65.94,10,74.26,7,0,0,0.45
20137,266,12360,12,12,0,1624924419,1625015528,3,0,90.19,10,52.81,3,0,0,0.428571429
